open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
213.0,213.68,211.495,213.59,4501594.0,213.68,211.495,213.59,213.0,4501594.0,1.0,0.0,BA,XNYS,2023-04-13T00:00:00+0000
213.66,214.29,210.13,212.34,4600326.0,214.3,210.13,212.34,213.66,4600326.0,1.0,0.0,BA,XNYS,2023-04-12T00:00:00+0000
213.29,214.4999,211.86,212.32,5277549.0,214.5,211.86,212.32,213.29,5277549.0,1.0,0.0,BA,XNYS,2023-04-11T00:00:00+0000
211.0,214.0996,209.75,210.78,3729340.0,214.1,209.73,210.78,211.0,3729340.0,1.0,0.0,BA,XNYS,2023-04-10T00:00:00+0000
210.0,212.37,208.22,211.37,5618125.0,212.37,208.22,211.37,210.0,5618125.0,1.0,0.0,BA,XNYS,2023-04-06T00:00:00+0000
212.23,214.23,208.671,210.0,4138426.0,214.23,208.671,210.0,212.23,4138426.0,1.0,0.0,BA,XNYS,2023-04-05T00:00:00+0000
212.0,213.94,209.14,213.9,6192254.0,213.99,209.12,213.9,212.0,6192254.0,1.0,0.0,BA,XNYS,2023-04-04T00:00:00+0000
212.8,218.57,212.53,215.39,6085935.0,218.57,212.53,215.39,212.8,6085935.0,1.0,0.0,BA,XNYS,2023-04-03T00:00:00+0000
211.75,214.8,211.39,212.43,5143200.0,214.8,211.39,212.43,211.75,5147549.0,1.0,0.0,BA,XNYS,2023-03-31T00:00:00+0000
208.97,212.8699,206.5207,211.04,6561154.0,212.8699,206.5207,211.04,208.97,6583391.0,1.0,0.0,BA,XNYS,2023-03-30T00:00:00+0000
206.5,208.6467,205.88,207.97,3563629.0,208.6467,205.88,207.97,206.5,3572163.0,1.0,0.0,BA,XNYS,2023-03-29T00:00:00+0000
200.82,206.3,200.485,204.96,5451380.0,206.3,200.485,204.96,200.82,5460587.0,1.0,0.0,BA,XNYS,2023-03-28T00:00:00+0000
198.63,201.55,198.63,200.57,3891702.0,201.55,198.63,200.57,198.63,3891702.0,1.0,0.0,BA,XNYS,2023-03-27T00:00:00+0000
195.5,197.57,193.92,197.53,4511600.0,197.57,193.9202,197.53,195.5,4513512.0,1.0,0.0,BA,XNYS,2023-03-24T00:00:00+0000
197.9,201.49,195.14,197.9,6266894.0,201.5,195.14,197.9,197.9,6266894.0,1.0,0.0,BA,XNYS,2023-03-23T00:00:00+0000
203.68,203.83,196.02,196.16,7311578.0,203.83,196.01,196.16,203.68,7311578.0,1.0,0.0,BA,XNYS,2023-03-22T00:00:00+0000
207.3,207.86,203.89,204.7,4667300.0,207.86,203.89,204.7,207.3,4673304.0,1.0,0.0,BA,XNYS,2023-03-21T00:00:00+0000
201.12,205.855,200.88,204.77,4759458.0,205.87,200.87,204.77,201.12,4763997.0,1.0,0.0,BA,XNYS,2023-03-20T00:00:00+0000
201.35,202.83,199.0,201.05,9853500.0,202.8336,199.0,201.05,201.35,9858936.0,1.0,0.0,BA,XNYS,2023-03-17T00:00:00+0000
196.205,203.9,194.44,203.19,6752125.0,203.9104,194.43,203.19,196.205,6752125.0,1.0,0.0,BA,XNYS,2023-03-16T00:00:00+0000
201.92,202.175,192.43,198.21,10029614.0,202.2077,192.41,198.21,201.92,10894234.0,1.0,0.0,BA,XNYS,2023-03-15T00:00:00+0000
207.53,213.56,205.0,207.28,8230700.0,213.5599,205.0,207.28,207.53,8245664.0,1.0,0.0,BA,XNYS,2023-03-14T00:00:00+0000
200.2,207.08,197.11,203.37,6652116.0,207.08,197.11,203.37,200.2,6671174.0,1.0,0.0,BA,XNYS,2023-03-13T00:00:00+0000
201.43,205.0,197.79,203.07,8536500.0,205.0,197.79,203.07,201.43,8547078.0,1.0,0.0,BA,XNYS,2023-03-10T00:00:00+0000
208.32,209.02,200.3,201.24,4284026.0,209.02,200.3,201.24,208.32,4284026.0,1.0,0.0,BA,XNYS,2023-03-09T00:00:00+0000
208.25,208.88,205.94,207.2,2403600.0,208.88,205.94,207.2,208.25,2406897.0,1.0,0.0,BA,XNYS,2023-03-08T00:00:00+0000
211.31,213.175,207.775,207.92,4611985.0,213.175,207.775,207.92,211.31,4619710.0,1.0,0.0,BA,XNYS,2023-03-07T00:00:00+0000
214.12,214.75,209.6,211.92,6990525.0,214.75,209.6,211.92,214.12,7004436.0,1.0,0.0,BA,XNYS,2023-03-06T00:00:00+0000
210.25,216.12,209.4,215.11,7493200.0,216.12,209.4,215.11,210.25,7496846.0,1.0,0.0,BA,XNYS,2023-03-03T00:00:00+0000
203.78,210.33,203.19,210.06,5446504.0,210.33,203.15,210.06,203.78,5454074.0,1.0,0.0,BA,XNYS,2023-03-02T00:00:00+0000
201.47,205.435,200.85,204.55,4373294.0,205.435,200.85,204.55,201.47,4402266.0,1.0,0.0,BA,XNYS,2023-03-01T00:00:00+0000
201.0,202.37,199.345,201.55,3589900.0,202.38,199.32,201.55,201.0,3589900.0,1.0,0.0,BA,XNYS,2023-02-28T00:00:00+0000
199.87,203.1259,199.06,200.46,4289427.0,203.1259,199.06,200.46,199.87,4318866.0,1.0,0.0,BA,XNYS,2023-02-27T00:00:00+0000
200.0,201.7,197.36,198.15,9652900.0,201.7,197.36,198.15,200.0,9658678.0,1.0,0.0,BA,XNYS,2023-02-24T00:00:00+0000
207.45,209.69,205.76,208.13,4092200.0,209.692,205.76,208.13,207.45,4139351.0,1.0,0.0,BA,XNYS,2023-02-23T00:00:00+0000
205.31,207.67,204.65,205.76,2916800.0,207.665,204.65,205.76,205.31,2920010.0,1.0,0.0,BA,XNYS,2023-02-22T00:00:00+0000
208.99,210.84,205.05,205.52,4655000.0,210.84,205.05,205.52,208.99,4663756.0,1.0,0.0,BA,XNYS,2023-02-21T00:00:00+0000
211.21,211.76,207.6196,211.66,4985686.0,211.76,207.6196,211.66,211.21,4985686.0,1.0,0.0,BA,XNYS,2023-02-17T00:00:00+0000
215.0,216.52,212.17,212.21,4373300.0,216.52,212.17,212.21,215.0,4387973.0,1.0,0.0,BA,XNYS,2023-02-16T00:00:00+0000
217.16,218.25,214.6,217.44,4846800.0,218.25,214.6,217.44,217.16,4852436.0,1.0,0.0,BA,XNYS,2023-02-15T00:00:00+0000
214.02,221.33,213.15,218.45,10007742.0,221.33,213.15,218.45,214.02,10033115.0,1.0,0.0,BA,XNYS,2023-02-14T00:00:00+0000
213.6,216.355,211.5,215.65,5166642.0,216.355,211.5,215.65,213.6,5193329.0,1.0,0.0,BA,XNYS,2023-02-13T00:00:00+0000
212.01,214.5,210.5,212.89,4860200.0,214.5,210.5,212.89,212.01,4862940.0,1.0,0.0,BA,XNYS,2023-02-10T00:00:00+0000
214.46,215.45,210.06,211.99,5014300.0,215.4521,210.06,211.99,214.46,5018879.0,1.0,0.0,BA,XNYS,2023-02-09T00:00:00+0000
213.07,215.77,211.78,213.5,4226900.0,215.77,211.78,213.5,213.07,4229794.0,1.0,0.0,BA,XNYS,2023-02-08T00:00:00+0000
208.04,215.15,206.92,214.76,7305100.0,215.15,206.92,214.76,208.04,7311187.0,1.0,0.0,BA,XNYS,2023-02-07T00:00:00+0000
205.19,208.21,203.69,206.81,3899000.0,208.21,203.69,206.81,205.19,3903023.0,1.0,0.0,BA,XNYS,2023-02-06T00:00:00+0000
207.71,210.75,205.62,206.01,5392500.0,210.75,205.618,206.01,207.71,5400280.0,1.0,0.0,BA,XNYS,2023-02-03T00:00:00+0000
215.15,215.29,208.3,209.34,6503600.0,215.29,208.3,209.34,215.15,6513357.0,1.0,0.0,BA,XNYS,2023-02-02T00:00:00+0000
212.11,218.97,211.9,214.75,8438500.0,218.97,211.9,214.75,212.11,8462076.0,1.0,0.0,BA,XNYS,2023-02-01T00:00:00+0000
210.15,213.11,208.24,213.0,5001382.0,213.11,208.24,213.0,210.15,5162983.0,1.0,0.0,BA,XNYS,2023-01-31T00:00:00+0000
209.19,211.36,207.71,209.67,6063400.0,211.36,207.71,209.67,209.19,6066779.0,1.0,0.0,BA,XNYS,2023-01-30T00:00:00+0000
211.32,212.88,209.42,211.17,5219200.0,212.88,209.42,211.17,211.32,5237944.0,1.0,0.0,BA,XNYS,2023-01-27T00:00:00+0000
213.48,213.79,207.2,212.73,7281200.0,213.79,207.2,212.73,213.48,7288144.0,1.0,0.0,BA,XNYS,2023-01-26T00:00:00+0000
