date,open_price,high_price,low_price,close_price,volume
2020-01-01T00:00:00.0000000Z,7160.69,7237.35,7150.0,7178.68,1119.10969318
2020-01-02T00:00:00.0000000Z,7174.7,7184.94,6900.0,6950.56,3972.70795427
2020-01-03T00:00:00.0000000Z,6945.7,7402.31,6853.53,7338.91,8072.72908749
2020-01-04T00:00:00.0000000Z,7332.58,7396.1,7256.03,7344.48,3256.73735349
2020-01-05T00:00:00.0000000Z,7356.05,7495.0,7310.0,7356.7,2707.27385549
2020-01-06T00:00:00.0000000Z,7352.12,7817.0,7342.46,7762.74,6728.28277831
2020-01-07T00:00:00.0000000Z,7768.17,8220.0,7697.03,8159.01,12158.32281238
2020-01-08T00:00:00.0000000Z,8151.79,8463.57,7872.09,8044.44,11913.23248192
2020-01-09T00:00:00.0000000Z,8048.94,8048.94,7737.97,7806.78,5957.24423978
2020-01-10T00:00:00.0000000Z,7812.7,8200.0,7667.0,8200.0,8999.98825687
2020-01-11T00:00:00.0000000Z,8200.0,8286.0,8000.0,8016.22,3788.3273136
2020-01-12T00:00:00.0000000Z,8008.1,8190.0,7960.0,8180.76,2056.08675369
2020-01-13T00:00:00.0000000Z,8180.75,8196.81,8039.0,8105.01,4011.43909644
2020-01-14T00:00:00.0000000Z,8105.01,8895.0,8105.01,8813.04,17009.43193382
2020-01-15T00:00:00.0000000Z,8813.2,8903.2,8555.0,8809.17,8606.88339936
2020-01-16T00:00:00.0000000Z,8810.62,8852.35,8573.91,8710.15,6713.2584764
2020-01-17T00:00:00.0000000Z,8715.39,9015.22,8661.52,8892.63,9363.15892644
2020-01-18T00:00:00.0000000Z,8898.03,9000.1,8798.9,8908.53,3678.00926615
2020-01-19T00:00:00.0000000Z,8901.02,9188.1,8461.38,8696.6,8785.449927
2020-01-20T00:00:00.0000000Z,8698.97,8740.54,8507.93,8625.17,4420.19825219
2020-01-21T00:00:00.0000000Z,8629.66,8778.66,8480.0,8717.89,3394.68916005
2020-01-22T00:00:00.0000000Z,8728.47,8792.98,8567.68,8655.93,3143.81212331
2020-01-23T00:00:00.0000000Z,8661.63,8665.95,8280.0,8378.44,8611.0107876
2020-01-24T00:00:00.0000000Z,8382.08,8530.7,8212.9,8422.13,6430.43023326
2020-01-25T00:00:00.0000000Z,8435.83,8437.47,8252.72,8329.5,2812.78995216
2020-01-26T00:00:00.0000000Z,8320.0,8600.0,8276.22,8590.48,6340.58577579
2020-01-27T00:00:00.0000000Z,8600.0,9004.35,8546.55,8894.54,9619.7747426
2020-01-28T00:00:00.0000000Z,8894.57,9413.24,8876.0,9400.0,9565.55935515
2020-01-29T00:00:00.0000000Z,9386.57,9443.96,9215.5,9289.18,6481.91594603
2020-01-30T00:00:00.0000000Z,9280.83,9570.0,9166.07,9500.0,7945.15877894
2020-01-31T00:00:00.0000000Z,9510.84,9529.35,9195.93,9327.85,5009.62230695
2020-02-01T00:00:00.0000000Z,9339.26,9464.16,9280.33,9377.17,1669.00246242
2020-02-02T00:00:00.0000000Z,9379.6,9474.28,9135.0,9329.39,3015.79158859
2020-02-03T00:00:00.0000000Z,9309.69,9615.0,9211.07,9288.09,4758.13350441
2020-02-04T00:00:00.0000000Z,9281.0,9348.6,9075.0,9159.37,4867.22545881
2020-02-05T00:00:00.0000000Z,9168.49,9775.0,9142.52,9612.48,6930.17633448
2020-02-06T00:00:00.0000000Z,9617.84,9859.57,9521.0,9754.63,7554.48867469
2020-02-07T00:00:00.0000000Z,9754.63,9878.0,9706.94,9803.42,4013.49096731
2020-02-08T00:00:00.0000000Z,9803.71,9948.97,9658.58,9902.0,3268.73554695
2020-02-09T00:00:00.0000000Z,9907.7,10178.54,9885.04,10173.97,4830.33787739
2020-02-10T00:00:00.0000000Z,10173.51,10199.85,9731.2,9850.01,7560.66789084
2020-02-11T00:00:00.0000000Z,9851.99,10383.9,9706.94,10268.98,8127.59636283
2020-02-12T00:00:00.0000000Z,10270.98,10495.0,10247.35,10348.78,6553.40942709
2020-02-13T00:00:00.0000000Z,10348.78,10500.5,10068.0,10228.67,9347.45128374
2020-02-14T00:00:00.0000000Z,10229.19,10398.0,10093.26,10364.04,6190.37749036
2020-02-15T00:00:00.0000000Z,10364.04,10408.04,9739.0,9899.78,5762.30634481
2020-02-16T00:00:00.0000000Z,9909.71,10051.24,9598.49,9912.89,4133.47675014
2020-02-17T00:00:00.0000000Z,9925.96,9973.45,9467.57,9697.15,5913.20492551
2020-02-18T00:00:00.0000000Z,9725.57,10288.0,9602.6,10185.17,6754.35394103
2020-02-19T00:00:00.0000000Z,10190.3,10300.0,9312.0,9595.72,9936.8206814
2020-02-20T00:00:00.0000000Z,9589.1,9706.27,9396.91,9612.76,6608.4910792
2020-02-21T00:00:00.0000000Z,9610.4,9773.2,9562.6,9696.13,4271.47074293
2020-02-22T00:00:00.0000000Z,9696.13,9722.39,9568.51,9668.13,2096.56353593
2020-02-23T00:00:00.0000000Z,9664.08,10024.08,9664.08,9965.21,3329.22433648
2020-02-24T00:00:00.0000000Z,9969.79,10027.66,9480.0,9652.58,5877.00770771
